team,goals_scored,xg,goals_conceded,post_shot_xg,saves
Arsenal,67,59.9,34,35.1,86
Aston Villa,56,56.1,51,52.1,104
Bournemouth,57,64.0,46,54.8,126
Brentford,65,59.0,57,53.3,153
Brighton,64,58.7,59,51.5,90
Chelsea,61,67.8,43,45.0,111
Crystal Palace,49,60.4,51,51.2,101
Everton,39,41.8,44,48.8,117
Fulham,53,49.0,54,48.9,106
Ipswich Town,35,34.4,82,73.6,130
Leicester City,33,32.6,80,74.6,131
Liverpool,85,82.2,41,42.2,98
Manchester City,71,68.1,44,46.3,86
Manchester Utd,42,52.6,54,54.1,96
Newcastle Utd,66,63.8,47,47.7,115
Nott'ham Forest,57,45.5,46,49.1,119
Southampton,25,32.7,86,83.8,157
Tottenham,61,58.8,65,66.6,119
West Ham,43,47.0,62,57.9,127
Wolves,53,43.7,69,59.7,100
