team,team_Oi,team_Di,opponent,opponent_Oi,opponent_Di
Arsenal,1.24,0.63,Manchester Utd,0.78,1.0
Aston Villa,1.04,0.94,Newcastle Utd,1.22,0.87
Bournemouth,1.05,0.85,Liverpool,1.57,0.76
Brentford,1.2,1.05,Nott'ham Forest,1.05,0.85
Brighton,1.18,1.09,Fulham,0.98,1.0
Burnley,0.67,1.3,Tottenham,1.13,1.2
Chelsea,1.13,0.79,Crystal Palace,0.91,0.94
Crystal Palace,0.91,0.94,Chelsea,1.13,0.79
Everton,0.72,0.81,Leeds United,0.87,1.5
Fulham,0.98,1.0,Brighton,1.18,1.09
Leeds United,0.87,1.5,Everton,0.72,0.81
Liverpool,1.57,0.76,Bournemouth,1.05,0.85
Manchester City,1.31,0.81,Wolves,0.98,1.28
Manchester Utd,0.78,1.0,Arsenal,1.24,0.63
Newcastle Utd,1.22,0.87,Aston Villa,1.04,0.94
Nott'ham Forest,1.05,0.85,Brentford,1.2,1.05
Sunderland,0.77,1.4,West Ham,0.79,1.15
Tottenham,1.13,1.2,Burnley,0.67,1.3
West Ham,0.79,1.15,Sunderland,0.77,1.4
Wolves,0.98,1.28,Manchester City,1.31,0.81
