team,team_Oi,team_Di,opponents_Oi,opponents_Di,expected_gf,expected_ga,opponent
Liverpool,8.36,3.86,5.56,4.8,8.05,4.22,"(H) Bournemouth, (A) Newcastle Utd, (H) Arsenal, (A) Burnley, (H) Everton"
Arsenal,6.73,3.32,5.89,5.51,7.37,3.92,"(A) Manchester Utd, (H) Leeds United, (A) Liverpool, (H) Nott'ham Forest, (H) Manchester City"
Manchester City,6.79,4.3,5.5,5.12,7.06,4.73,"(A) Wolves, (H) Tottenham, (A) Brighton, (H) Manchester Utd, (A) Arsenal"
Chelsea,6.19,4.45,5.44,5.66,6.98,4.82,"(H) Crystal Palace, (A) West Ham, (H) Fulham, (A) Brentford, (A) Manchester Utd"
Tottenham,6.19,6.31,5.82,5.6,6.96,7.34,"(H) Burnley, (A) Manchester City, (H) Bournemouth, (A) West Ham, (A) Brighton"
Newcastle Utd,6.45,4.83,5.9,5.09,6.74,5.49,"(A) Aston Villa, (H) Liverpool, (A) Leeds United, (H) Wolves, (A) Bournemouth"
Brentford,6.21,5.32,4.87,5.26,6.61,5.28,"(A) Nott'ham Forest, (H) Aston Villa, (A) Sunderland, (H) Chelsea, (A) Fulham"
Bournemouth,5.46,4.26,6.63,5.9,6.18,5.8,"(A) Liverpool, (H) Wolves, (A) Tottenham, (H) Brighton, (H) Newcastle Utd"
Aston Villa,5.53,5.31,5.44,5.54,6.11,5.72,"(H) Newcastle Utd, (A) Brentford, (H) Crystal Palace, (A) Everton, (A) Sunderland"
Nott'ham Forest,5.89,4.89,4.78,4.93,5.78,4.61,"(H) Brentford, (A) Crystal Palace, (H) West Ham, (A) Arsenal, (A) Burnley"
Brighton,6.35,5.66,5.33,4.54,5.64,5.93,"(H) Fulham, (A) Everton, (H) Manchester City, (A) Bournemouth, (H) Tottenham"
Fulham,5.25,5.37,5.32,5.4,5.62,5.67,"(A) Brighton, (H) Manchester Utd, (A) Chelsea, (H) Leeds United, (H) Brentford"
Crystal Palace,5.13,5.05,5.62,5.45,5.47,5.68,"(A) Chelsea, (H) Nott'ham Forest, (A) Aston Villa, (H) Sunderland, (A) West Ham"
Wolves,5.25,6.64,5.16,4.84,5.03,6.95,"(H) Manchester City, (A) Bournemouth, (H) Everton, (A) Newcastle Utd, (H) Leeds United"
West Ham,4.46,6.14,5.17,5.12,4.56,6.39,"(A) Sunderland, (H) Chelsea, (A) Nott'ham Forest, (H) Tottenham, (H) Crystal Palace"
Everton,3.94,4.3,5.9,5.62,4.55,5.07,"(A) Leeds United, (H) Brighton, (A) Wolves, (H) Aston Villa, (A) Liverpool"
Leeds United,4.53,7.69,5.14,4.94,4.47,8.06,"(H) Everton, (A) Arsenal, (H) Newcastle Utd, (A) Fulham, (A) Wolves"
Manchester Utd,4.3,5.29,5.99,4.97,4.28,6.34,"(H) Arsenal, (A) Fulham, (H) Burnley, (A) Manchester City, (H) Chelsea"
Sunderland,3.82,6.71,4.46,5.56,4.24,5.91,"(H) West Ham, (A) Burnley, (H) Brentford, (A) Crystal Palace, (H) Aston Villa"
Burnley,3.24,6.28,6.15,6.13,3.96,7.73,"(A) Tottenham, (H) Sunderland, (A) Manchester Utd, (H) Liverpool, (H) Nott'ham Forest"
